Source	Author	Title	Description	PublishedAt	URL	coding	coverage
Buzzfeed	Alexa Lisitza	"And Just Like That, People Are Trolling Donald Trump With Negative Reviews On THAT McDonald's Yelp Page"	Welp. I guess y'all won't be wanting fries with that.View Entire Post ›	2024-10-23T16:54:26Z	https://www.buzzfeed.com/alexalisitza/yelp-reviews-trump-mcdonalds	Cultural Impact	Negative
Yahoo Entertainment	KATE BRUMBACK	Georgia prosecutor who brought election case against Trump faces rare Republican challenger	"Fulton County District Attorney Fani Willis, the Democratic Georgia prosecutor who brought charges against former President Donald Trump over efforts to..."	2024-10-27T14:36:09Z	https://www.yahoo.com/news/georgia-prosecutor-brought-election-case-143609197.html	Legal Issues	Neutral
Fox News	Howard Kurtz	"Why Trump, battling media hostility, is declaring war on fact-checkers"	"With Vice President Kamala Harris drawing favorable coverage from the media, and former President Donald Trump seemingly triggering journalistic outrage, Trump is taking on fact-checkers."	2024-10-16T07:00:47Z	https://www.foxnews.com/politics/why-trump-battling-media-hostility-declaring-war-fact-checkers	Election	Positive
Time	Brian Bennett	Harris: Trump Is a ‘Fascist’ Who Will Use Military For Personal Vendettas	"Harris said Trump would use the military “to carry out his personal and political vendettas"" in a rare speech from her official residence in Washington."	2024-10-23T21:31:03Z	https://time.com/7096898/harris-trump-facist-speech/	Election	Negative
CBC News		Some voters aren't crazy about Trump. But they're supporting him anyway	"There's a contingent of voters in U.S. who don't necessarily like Donald Trump as a person, but say they'll be voting for him anyway because they believe he'll be stronger on the economy."	2024-10-31T08:00:00Z	https://www.cbc.ca/news/world/trump-voters-michigan-harris-presidential-election-1.7367116	Polling	Positive
TechCrunch	Kyle Wiggers	What Trump's victory could mean for AI regulation | TechCrunch	"Now that Donald Trump's been elected the 47th president of the U.S., what does that mean for domestic AI regulation?"	2024-11-06T17:42:46Z	https://techcrunch.com/2024/11/06/what-trumps-victory-could-mean-for-ai-regulation/	Policies	Neutral
TechCrunch	Amanda Silberling	Bluesky is courting the Swifties | TechCrunch	Bluesky has grown by 2 million users — about 15% — since Donald Trump won the U.S. election last week. But the emerging social platform isn't just acting	2024-11-14T21:22:51Z	https://techcrunch.com/2024/11/14/bluesky-is-courting-the-swifties/	Cultural Impact	Neutral
Time	Sam Nunn	Who Will Work For Our New President–and Our Nation?	"National security requires the top independent, top flight Presidential advisors that Donald Trump has shown he will not abide."	2024-11-02T13:00:00Z	https://time.com/7171540/sam-nunn-who-will-work-for-trump-national-security/	Election	Negative
Fortune	Diane Brady	"Tesla, Musk, and the cult of personality"	Shareholders' dominant concern is Musk’s controversial rhetoric and support of Donald Trump.	2024-10-24T09:26:18Z	https://fortune.com/2024/10/24/tesla-musk-cult-of-personality/	Election	Negative
Business Insider	Kelsey Vlamis	"Trump scores a Joe Rogan interview for the first time, with an eye on male voters"	Joe Rogan's interview with Donald Trump would be the former president's latest appearance on a podcast that attracts young men.	2024-10-22T23:31:13Z	https://www.businessinsider.com/trump-joe-rogan-interview-podcast-young-male-voters-2024-10	Election	Positive
Associated Press	ap news	Don compares jailed Capitol rioters to Japanese internment during WWII...		2024-10-18T20:00:03Z	https://apnews.com/article/jan-6-trump-japanese-capitol-riot-85573774c03b46f36aadd35d5f0b77ca	Cultural Impact	Negative
The New Yorker	Andrew Marantz	The Tucker Carlson Road Show	"Carlson has spent the year after his Fox News firing promoting Donald Trump and conspiracy theories and interviewing figures including J. D. Vance, Alex Jones, Vladimir Putin, Robert F. Kennedy, Jr., and Roseanne Barr. Andrew Marantz reports."	2024-11-01T10:00:00Z	https://www.newyorker.com/magazine/2024/11/11/the-tucker-carlson-road-show	Cultural Impact	Negative
Breitbart News	"Warner Todd Huston, Warner Todd Huston"	'RuPaul's Drag Race' Judge Clobbered for Endorsing Donald Trump	"A former judge on ""RuPaul's Drag Race"" is taking heat by the drag community for endorsing Donald Trump for president.
The post ‘RuPaul’s Drag Race’ Judge Clobbered for Endorsing Donald Trump appeared first on Breitbart."	2024-10-17T12:15:49Z	https://www.breitbart.com/entertainment/2024/10/17/rupauls-drag-race-judge-clobbered-for-endorsing-donald-trump/	Election	Neutral
CBC News		"Netanyahu wanted a Trump victory, and got it. What will it mean for the war?"	"In congratulating Donald Trump for his ""huge"" election victory, Israeli Prime Minister Benjamin Netanyahu's social media posts were full of excitement. Netanyahu has reason to be pleased. Now, he sees the man he once called ""Israel's best friend"" returning to…"	2024-11-06T23:42:58Z	https://www.cbc.ca/news/world/israel-trump-1.7375519	Cultural Impact	Negative
Newsweek	Natalie Venegas	Mary Trump 'Truly Shocked' by Donald Trump	"Mary Trump mocked her uncle over reports that he is ""too exhausted"" to do interviews."	2024-10-19T16:52:20Z	https://www.newsweek.com/mary-trump-shocked-donald-trump-over-interviews-1971651	Cultural Impact	Positive
AppleInsider	news@appleinsider.com (Malcolm Owen)	Apple CEO Tim Cook congratulates Trump on his second election win	"Apple CEO Tim Cook has congratulated Donald Trump after winning the 2024 U.S. presidential election, as he re-lays the groundwork for a close working relationship with the returning president.Tim Cook and Donald Trump in a meeting at the White House in 2018Fo…"	2024-11-06T19:39:26Z	https://appleinsider.com/articles/24/11/06/apple-ceo-tim-cook-congratulates-trump-on-his-second-election-win	Cultural Impact	Negative
The Verge	Justine Calma	Jeff Bezos says he’s a climate guy — why is he kissing the ring?	Jeff Bezos joined other tech moguls in congratulating Trump on his election victory. That doesn’t seem to jive with his “passion” for fighting climate change.	2024-11-07T18:15:05Z	https://www.theverge.com/2024/11/7/24289945/jeff-bezos-donald-trump-election-amazon-climate-change-fund	Cultural Impact	Neutral
Fortune	Paolo Confino	Wall Street has already priced in a Trump victory—just look at European stocks and the inflation market	"Across Wall Street, investors see a Donald Trump win over Kamala Harris as increasingly likely. They’re governing their portfolios accordingly."	2024-10-25T01:04:00Z	https://fortune.com/2024/10/24/wall-street-election-trump-win-europe/	Economy	Neutral
Time	KAREN MATTHEWS / AP	How the Trump Rally at Madison Square Garden Follows a Long Tradition in Politics	Donald Trump's rally on Sunday at Madison Square Garden follows a long line of political events at the storied New York City arena.	2024-10-26T14:37:44Z	https://time.com/7099093/trump-rally-madison-square-garden-follows-long-tradition-in-politics/	Election	Neutral
